order_id,date,time,dates_std,times_std
1,1451602800.0,11H 38M 36S,2016-01-01 00:00:00,
2,01-01-16 11:57:40,00:00 AM,2016-01-01 11:57:40,
3,01-01-16 11:57:40,12:12 PM,2016-01-01 11:57:40,
4,Jan 1 2016,12:16:31,2016-01-01 00:00:00,
5,01-01-16 12:21:30,00:00 AM,2016-01-01 12:21:30,
6,2016-01-01,12:29:36,2016-01-01 00:00:00,
7,2016-01-01,12:50 PM,2016-01-01 00:00:00,
8,"Friday,01 January, 2016",12:51 PM,2016-01-01 00:00:00,
9,Fri 01-Jan-2016,12:52:01,2016-01-01 00:00:00,
10,Fri 01-Jan-2016,13:00 PM,2016-01-01 00:00:00,
11,Fri 01-Jan-2016,13:02:59,2016-01-01 00:00:00,
12,Fri 01-Jan-2016,13:04:41,2016-01-01 00:00:00,
13,1451602800.0,13:11:55,2016-01-01 00:00:00,
14,Jan 1 2016,13H 14M 19S,2016-01-01 00:00:00,
15,1451602800.0,13:33 PM,2016-01-01 00:00:00,
16,01-01-16 13:34:07,00H 00M 00S,2016-01-01 13:34:07,
17,01-01-16 13:53:00,00H 00M 00S,2016-01-01 13:53:00,
18,01-01-16 13:57:08,00:00:00,2016-01-01 13:57:08,
19,Fri 01-Jan-2016,13:59 PM,2016-01-01 00:00:00,
20,01-01-16 14:03:08,00:00:00,2016-01-01 14:03:08,
21,Fri 01-Jan-2016,14:14:29,2016-01-01 00:00:00,
22,Jan 1 2016,14H 16M 26S,2016-01-01 00:00:00,
23,01-01-16 14:19:03,00:00 AM,2016-01-01 14:19:03,
24,Jan 1 2016,14:23 PM,2016-01-01 00:00:00,
25,Jan 1 2016,14:44 PM,2016-01-01 00:00:00,
26,Fri 01-Jan-2016,14H 54M 26S,2016-01-01 00:00:00,
27,1451602800.0,15:11 PM,2016-01-01 00:00:00,
28,Jan 1 2016,15:35 PM,2016-01-01 00:00:00,
29,1451602800.0,15H 41M 01S,2016-01-01 00:00:00,
30,01-01-16 15:41:25,00:00 AM,2016-01-01 15:41:25,
31,01-01-16 15:50:18,00:00 AM,2016-01-01 15:50:18,
32,Fri 01-Jan-2016,15:53:18,2016-01-01 00:00:00,
33,Fri 01-Jan-2016,15H 54M 08S,2016-01-01 00:00:00,
34,01-01-16 16:21:21,00H 00M 00S,2016-01-01 16:21:21,
35,2016-01-01,16:32 PM,2016-01-01 00:00:00,
36,1451602800.0,16:32 PM,2016-01-01 00:00:00,
37,"Friday,01 January, 2016",16:56:09,2016-01-01 00:00:00,
38,"Friday,01 January, 2016",16:56:09,2016-01-01 00:00:00,
39,2016-01-01,17H 07M 23S,2016-01-01 00:00:00,
40,01-01-16 17:14:36,00:00 AM,2016-01-01 17:14:36,
41,1451602800.0,17:15 PM,2016-01-01 00:00:00,
42,2016-01-01,17:28:09,2016-01-01 00:00:00,
43,1451602800.0,17:38 PM,2016-01-01 00:00:00,
44,1451602800.0,17:38 PM,2016-01-01 00:00:00,
45,01-01-16 17:55:48,00:00:00,2016-01-01 17:55:48,
46,1451602800.0,18:25 PM,2016-01-01 00:00:00,
47,Jan 1 2016,18H 26M 34S,2016-01-01 00:00:00,
48,Jan 1 2016,18:26 PM,2016-01-01 00:00:00,
49,2016-01-01,18:33 PM,2016-01-01 00:00:00,
50,Fri 01-Jan-2016,18H 41M 01S,2016-01-01 00:00:00,
51,Jan 1 2016,18H 41M 01S,2016-01-01 00:00:00,
52,Jan 1 2016,18H 53M 02S,2016-01-01 00:00:00,
53,Jan 1 2016,18:54:17,2016-01-01 00:00:00,
54,Jan 1 2016,19:01 PM,2016-01-01 00:00:00,
55,1451602800.0,19:03:19,2016-01-01 00:00:00,
56,Jan 1 2016,19:07:00,2016-01-01 00:00:00,
57,Jan 1 2016,19H 10M 51S,2016-01-01 00:00:00,
58,"Friday,01 January, 2016",19H 30M 40S,2016-01-01 00:00:00,
59,2016-01-01,19:40:08,2016-01-01 00:00:00,
60,1451602800.0,20H 05M 16S,2016-01-01 00:00:00,
61,"Friday,01 January, 2016",20:08:43,2016-01-01 00:00:00,
62,1451602800.0,20H 50M 16S,2016-01-01 00:00:00,
63,Jan 1 2016,20:51:42,2016-01-01 00:00:00,
64,Fri 01-Jan-2016,20H 52M 08S,2016-01-01 00:00:00,
65,"Friday,01 January, 2016",21:16 PM,2016-01-01 00:00:00,
66,"Friday,01 January, 2016",21:47:55,2016-01-01 00:00:00,
67,1451602800.0,22H 03M 40S,2016-01-01 00:00:00,
68,Fri 01-Jan-2016,22:07:32,2016-01-01 00:00:00,
69,01-01-16 22:12:13,00H 00M 00S,2016-01-01 22:12:13,
70,Sat 02-Jan-2016,11:38:51,2016-01-02 00:00:00,
71,1451689200.0,11:40:50,2016-01-02 00:00:00,
72,Sat 02-Jan-2016,11:57 AM,2016-01-02 00:00:00,
73,Jan 2 2016,11H 58M 56S,2016-01-02 00:00:00,
74,02-01-16 12:01:12,00H 00M 00S,2016-02-01 12:01:12,
75,Sat 02-Jan-2016,12H 10M 15S,2016-01-02 00:00:00,
76,"Saturday,02 January, 2016",12:21:17,2016-01-02 00:00:00,
77,2016-01-02,12:22 PM,2016-01-02 00:00:00,
78,1451689200.0,12H 28M 14S,2016-01-02 00:00:00,
79,02-01-16 12:29:11,00:00:00,2016-02-01 12:29:11,
80,2016-01-02,12:35:38,2016-01-02 00:00:00,
81,Sat 02-Jan-2016,12:40 PM,2016-01-02 00:00:00,
82,Sat 02-Jan-2016,12:45:51,2016-01-02 00:00:00,
83,Jan 2 2016,12H 53M 27S,2016-01-02 00:00:00,
84,Jan 2 2016,13H 13M 41S,2016-01-02 00:00:00,
85,1451689200.0,13:34 PM,2016-01-02 00:00:00,
86,2016-01-02,13:40 PM,2016-01-02 00:00:00,
87,02-01-16 14:01:02,00:00:00,2016-02-01 14:01:02,
88,2016-01-02,00:00:00,2016-01-02 00:00:00,
89,2016-01-02,14:30:19,2016-01-02 00:00:00,
90,Sat 02-Jan-2016,15:08 PM,2016-01-02 00:00:00,
91,Jan 2 2016,15:14:43,2016-01-02 00:00:00,
92,02-01-16 15:17:02,00:00 AM,2016-02-01 15:17:02,
93,Sat 02-Jan-2016,15H 29M 31S,2016-01-02 00:00:00,
94,"Saturday,02 January, 2016",15H 29M 31S,2016-01-02 00:00:00,
95,1451689200.0,16:18:04,2016-01-02 00:00:00,
96,1451689200.0,16:21 PM,2016-01-02 00:00:00,
97,2016-01-02,16:21 PM,2016-01-02 00:00:00,
98,02-01-16 17:18:18,16:21 PM,2016-02-01 17:18:18,
99,02-01-16 17:45:42,00:00 AM,2016-02-01 17:45:42,
100,02-01-16 17:45:42,00H 00M 00S,2016-02-01 17:45:42,
101,Jan 2 2016,17:51:33,2016-01-02 00:00:00,
102,02-01-16 17:54:04,00:00 AM,2016-02-01 17:54:04,
103,02-01-16 18:02:09,00H 00M 00S,2016-02-01 18:02:09,
104,Sat 02-Jan-2016,18:02 PM,2016-01-02 00:00:00,
105,"Saturday,02 January, 2016",18:12:01,2016-01-02 00:00:00,
106,1451689200.0,18H 12M 13S,2016-01-02 00:00:00,
107,1451689200.0,18H 25M 09S,2016-01-02 00:00:00,
108,1451689200.0,18:25:25,2016-01-02 00:00:00,
109,1451689200.0,18:27:50,2016-01-02 00:00:00,
110,Jan 2 2016,18H 36M 19S,2016-01-02 00:00:00,
111,Jan 2 2016,18:38:01,2016-01-02 00:00:00,
112,02-01-16 18:41:40,00H 00M 00S,2016-02-01 18:41:40,
113,"Saturday,02 January, 2016",18H 50M 21S,2016-01-02 00:00:00,
114,02-01-16 18:59:32,00:00:00,2016-02-01 18:59:32,
115,Sat 02-Jan-2016,19:05:17,2016-01-02 00:00:00,
116,2016-01-02,19H 18M 49S,2016-01-02 00:00:00,
117,"Saturday,02 January, 2016",19:23:02,2016-01-02 00:00:00,
118,2016-01-02,19:23:02,2016-01-02 00:00:00,
119,Sat 02-Jan-2016,19H 32M 29S,2016-01-02 00:00:00,
120,1451689200.0,19:35:07,2016-01-02 00:00:00,
121,Jan 2 2016,19:38:48,2016-01-02 00:00:00,
122,Jan 2 2016,19:50 PM,2016-01-02 00:00:00,
123,"Saturday,02 January, 2016",20:12 PM,2016-01-02 00:00:00,
124,Sat 02-Jan-2016,20:12:34,2016-01-02 00:00:00,
125,Sat 02-Jan-2016,20:31:06,2016-01-02 00:00:00,
126,Jan 2 2016,20H 53M 42S,2016-01-02 00:00:00,
127,02-01-16 20:58:23,00:00 AM,2016-02-01 20:58:23,
128,Jan 2 2016,21H 05M 06S,2016-01-02 00:00:00,
129,Sat 02-Jan-2016,21:13 PM,2016-01-02 00:00:00,
130,1451689200.0,21H 14M 55S,2016-01-02 00:00:00,
131,1451689200.0,21:33:10,2016-01-02 00:00:00,
132,1451689200.0,21:42:45,2016-01-02 00:00:00,
133,2016-01-02,22:00:17,2016-01-02 00:00:00,
134,"Saturday,02 January, 2016",22H 13M 24S,2016-01-02 00:00:00,
135,02-01-16 22:29:34,22H 13M 24S,2016-02-01 22:29:34,
136,Sat 02-Jan-2016,22H 13M 24S,2016-01-02 00:00:00,
137,Jan 3 2016,11:34:10,2016-01-03 00:00:00,
138,2016-01-03,11:44 AM,2016-01-03 00:00:00,
139,03-01-16 11:57:39,00:00:00,2016-03-01 11:57:39,
140,2016-01-03,12H 26M 44S,2016-01-03 00:00:00,
141,2016-01-03,13H 16M 01S,2016-01-03 00:00:00,
142,1451775600.0,13H 33M 59S,2016-01-03 00:00:00,
143,1451775600.0,13:41 PM,2016-01-03 00:00:00,
144,Jan 3 2016,13:44 PM,2016-01-03 00:00:00,
145,03-01-16 13:53:48,00H 00M 00S,2016-03-01 13:53:48,
146,1451775600.0,14:22 PM,2016-01-03 00:00:00,
147,Sun 03-Jan-2016,14:32:51,2016-01-03 00:00:00,
148,2016-01-03,14:32:51,2016-01-03 00:00:00,
149,Sun 03-Jan-2016,14:48:45,2016-01-03 00:00:00,
150,03-01-16 14:49:58,00:00 AM,2016-03-01 14:49:58,
151,2016-01-03,15:09 PM,2016-01-03 00:00:00,
152,2016-01-03,15:09 PM,2016-01-03 00:00:00,
153,"Sunday,03 January, 2016",15H 16M 34S,2016-01-03 00:00:00,
154,Jan 3 2016,15:22:43,2016-01-03 00:00:00,
155,"Sunday,03 January, 2016",15:28 PM,2016-01-03 00:00:00,
156,Jan 3 2016,15H 42M 19S,2016-01-03 00:00:00,
157,Jan 3 2016,15H 42M 19S,2016-01-03 00:00:00,
158,Sun 03-Jan-2016,15H 42M 19S,2016-01-03 00:00:00,
159,2016-01-03,15H 59M 22S,2016-01-03 00:00:00,
160,2016-01-03,16H 35M 33S,2016-01-03 00:00:00,
161,"Sunday,03 January, 2016",16:43 PM,2016-01-03 00:00:00,
162,03-01-16 16:51:22,00:00:00,2016-03-01 16:51:22,
163,03-01-16 16:51:22,16:54:54,2016-03-01 16:51:22,
164,1451775600.0,16:56 PM,2016-01-03 00:00:00,
165,Jan 3 2016,16:57 PM,2016-01-03 00:00:00,
166,"Sunday,03 January, 2016",16H 58M 51S,2016-01-03 00:00:00,
167,03-01-16 17:00:49,00:00 AM,2016-03-01 17:00:49,
168,"Sunday,03 January, 2016",17:02:27,2016-01-03 00:00:00,
169,03-01-16 17:15:48,17:02:27,2016-03-01 17:15:48,
170,Jan 3 2016,17:21 PM,2016-01-03 00:00:00,
171,03-01-16 17:23:03,00:00:00,2016-03-01 17:23:03,
172,Jan 3 2016,17H 29M 24S,2016-01-03 00:00:00,
173,1451775600.0,17H 29M 24S,2016-01-03 00:00:00,
174,2016-01-03,17:37 PM,2016-01-03 00:00:00,
175,03-01-16 17:50:51,00:00 AM,2016-03-01 17:50:51,
176,03-01-16 17:50:51,17H 51M 57S,2016-03-01 17:50:51,
177,03-01-16 17:50:51,17H 54M 36S,2016-03-01 17:50:51,
178,"Sunday,03 January, 2016",18:15:03,2016-01-03 00:00:00,
179,2016-01-03,18H 20M 14S,2016-01-03 00:00:00,
180,2016-01-03,18:33 PM,2016-01-03 00:00:00,
181,2016-01-03,18:49:32,2016-01-03 00:00:00,
182,1451775600.0,18:50:10,2016-01-03 00:00:00,
